# based on entity examples from rerun codebase
class, entity_target
rr.AnnotationContext,"/"
rr.AnnotationContext,"annotations/classes"
rr.AnnotationContext,"masks"
rr.AnnotationContext,"reconstruction"
rr.AnnotationContext,"segmentation"
rr.AnnotationContext,"video/landmarker"
rr.AnnotationContext,"video/mask"
rr.AnnotationContext,"world/anns"
rr.AnyValues,"/"
rr.Arrows2D,"2D/arrows"
rr.Arrows2D,"2d/arrows"
rr.Arrows2D,"arrows"
rr.Arrows3D,"3D/arrows"
rr.Arrows3D,"3d/arrows"
rr.Arrows3D,"arrows"
rr.Arrows3D,"world/data/nested/arrow"
rr.Arrows3D,"world/hours_hand"
rr.Arrows3D,"world/minutes_hand"
rr.Arrows3D,"world/seconds_hand"
rr.Arrows3D,"world/xyz"
rr.Asset3D,"world/asset"
rr.AssetVideo,"video_asset"
rr.BarChart,"bar_chart"
rr.BarChart,"bar_chart_custom_abscissa"
rr.BarChart,"prompt/text_input/attention_mask"
rr.BarChart,"prompt/text_input/ids"
rr.BarChart,"series/barchart"
rr.Boxes2D,"2D/boxes"
rr.Boxes2D,"2d/boxes"
rr.Boxes2D,"bbox"
rr.Boxes2D,"boxes/1"
rr.Boxes2D,"boxes/2"
rr.Boxes2D,"detections"
rr.Boxes2D,"image/boxes"
rr.Boxes2D,"non_interactive_subtree"
rr.Boxes2D,"non_interactive_subtree/also_non_interactive"
rr.Boxes2D,"rect/0"
rr.Boxes2D,"rect/1"
rr.Boxes2D,"segmentation/detections/background"
rr.Boxes2D,"segmentation/detections/things"
rr.Boxes2D,"simple"
rr.Boxes2D,"world/data/nested/box"
rr.Boxes2D,"world/data/nested/transformed/point"
rr.Boxes3D,"/box"
rr.Boxes3D,"3D/boxes"
rr.Boxes3D,"3d/boxes"
rr.Boxes3D,"batch"
rr.Boxes3D,"blue_box"
rr.Boxes3D,"box"
rr.Boxes3D,"data"
rr.Boxes3D,"map/box"
rr.Boxes3D,"red_box"
rr.Boxes3D,"shape/box"
rr.Boxes3D,"simple"
rr.Boxes3D,"world/anns"
rr.Boxes3D,"world/box"
rr.Boxes3D,"world/frame"
rr.Capsules3D,"capsules"
rr.ClassDescription,"detections"
rr.ClassDescription,"video/detector"
rr.Clear,"/archetype_chunk_with_clear"
rr.Clear,"arrows"
rr.Clear,"blendshapes"
rr.Clear,"map/new/close_nodes"
rr.Clear,"reconstruction/faces"
rr.Clear,"video/detector/faces"
rr.Clear,"video/landmarker/faces"
rr.ComponentDescriptor,"data"
rr.CoordinateFrame,"/"
rr.CoordinateFrame,"point"
rr.CoordinateFrame,"world/frame"
rr.Cylinders3D,"cylinders"
rr.DepthImage,"3dworld/depthimage/pinhole/data"
rr.DepthImage,"depth"
rr.DepthImage,"depth/estimated"
rr.DepthImage,"depth/interpolated"
rr.DepthImage,"depth/normalized"
rr.DepthImage,"image/depth"
rr.DepthImage,"realsense/depth/image"
rr.DepthImage,"world/camera/depth"
rr.Ellipsoids3D,"batch"
rr.Ellipsoids3D,"ellipsoid"
rr.Ellipsoids3D,"moon"
rr.Ellipsoids3D,"planet"
rr.Ellipsoids3D,"sun"
rr.Ellipsoids3D,"sun/planet"
rr.Ellipsoids3D,"sun/planet/moon"
rr.EncodedImage,"/world/cam0/image"
rr.EncodedImage,"camera/image"
rr.EncodedImage,"from_file"
rr.EncodedImage,"image"
rr.EncodedImage,"world/camera"
rr.GeoLineStrings,"colorado"
rr.GeoLineStrings,"world/ego_vehicle/trajectory"
rr.GeoPoints,"points"
rr.GeoPoints,"rerun_hq"
rr.GraphEdges,"/lattice"
rr.GraphEdges,"lattice"
rr.GraphNodes,"/lattice"
